,zbest,F3GHz,logL10cm,logL21cm,logLTIRSF,SFG,MNUV,MU,MB,MV,MR,MI,MZ,MY,MJ,MH,MK,MASS_MED,MASS_BEST,SFR_MED,SFR_BEST,L_NU,L_R,L_K
3965,1.07,27.89902,23.141567,23.373262,11.783504,1.0,-18.632,-20.307,-20.858,-21.472,-21.847,-22.34,-22.728,-23.003,-23.34,-23.775,-23.722,10.5042,10.518,2.18909,2.19943,30.2881193916788,30.3228262117389,30.263099076952
3966,0.8913,26.10246,22.928299,23.159992,11.774226,0.0,-19.807,-21.404,-21.967,-22.361,-22.476,-22.865,-23.175,-23.365,-23.516,-23.986,-23.985,10.6923,10.7523,1.88718,1.7688,29.8987193916788,30.2102262117389,30.209949076952
3967,1.5557,40.51195,23.72193,23.989292,12.309336,1.0,-18.693,-20.997,-21.63,-22.254,-22.596,-23.047,-23.541,-23.819,-24.17,-24.47,-24.48,10.9824,10.9534,2.32657,2.3533,30.4697193916788,30.6169262117389,30.569239076952
3968,0.1861,29.05494,21.431807,21.663502,10.530625,1.0,-91.753,-18.48,-19.426,-20.089,-20.465,-20.862,-21.179,-21.425,-21.617,-21.847,-21.7,10.35,10.2987,-0.0999977,-0.17614,27.9861393916788,29.0777362117389,29.361139076952
3969,0.729,18.74214,22.581402,22.813097,11.411233,1.0,-18.401,-20.287,-20.957,-21.401,-21.681,-22.029,-22.308,-22.411,-22.689,-22.983,-22.821,10.3997,10.3599,1.59913,1.54451,29.6800193916788,29.9252262117389,29.815769076952
3970,3.5415,20.32241,24.708128,25.209846,11.798074,1.0,-20.184,-21.856,-22.579,-22.998,-23.133,-23.334,-23.535,-23.637,-23.691,-23.851,-23.621,10.8162,10.8246,2.02225,0.245974,28.5847293916788,29.8722262117389,30.061129076952
3971,0.7306,30.57301,22.796135,23.027828,11.249891,1.0,-18.909,-20.766,-21.303,-21.791,-22.141,-22.48,-22.836,-23.032,-23.274,-23.617,-23.484,10.6162,10.6181,1.70158,1.71536,29.8273193916788,30.0874262117389,30.093189076952
3972,0.9792,31.66865,23.107204,23.3389,11.788477,1.0,-19.621,-21.201,-21.69,-22.144,-22.582,-22.68,-23.057,-23.265,-23.461,-23.853,-23.761,10.5628,10.5403,1.99974,1.9402,30.0566193916788,30.2038262117389,30.156139076952
3973,2.7582,24.81652,24.022694,24.254389,11.994432,1.0,-20.076,-21.229,-21.821,-22.218,-22.431,-22.721,-22.976,-23.124,-23.166,-23.402,-23.242,10.5775,10.6705,1.54336,1.18298,29.3230193916788,29.8732262117389,29.978909076952
3974,2.2893,20.29167,23.756336,23.988031,12.401232,1.0,-19.217,-20.991,-21.236,-21.748,-22.192,-22.523,-23.04,-23.317,-23.651,-24.1,-24.108,10.347,10.2191,2.51077,2.59975,30.5971193916788,30.4140262117389,30.369889076952
3976,0.5392,33.8948,22.535269,22.766962,11.194416,1.0,-17.181,-19.24,-19.929,-20.44,-20.908,-21.109,-21.478,-21.677,-21.992,-22.368,-22.241,10.1391,10.2226,1.05705,1.08797,29.2383193916788,29.6241262117389,29.597929076952
3977,0.8843,20.65256,22.818626,23.050322,11.659702,1.0,-19.486,-21.288,-21.977,-22.592,-22.92,-23.338,-23.611,-23.86,-24.033,-24.352,-24.213,11.144,11.1781,1.30012,1.31674,29.4634193916788,30.1978262117389,30.377599076952
3978,0.5249,21.71358,22.314957,22.546652,10.957141,0.0,-18.212,-21.815,-22.819,-23.443,-23.712,-24.101,-24.412,-24.918,-24.78,-24.966,-24.779,11.7059,11.6863,-0.501145,-0.508092,27.9142593916788,30.1166262117389,30.500339076952
3979,1.6095,26.74149,23.531311,23.763006,12.339625,1.0,-18.96,-21.217,-21.771,-22.256,-22.645,-22.942,-23.334,-23.731,-23.944,-24.351,-24.233,10.8519,10.852,2.07428,2.10379,30.2014193916788,30.3904262117389,30.377579076952
3980,0.346,20.12866,21.86904,22.100735,10.339668,0.0,-19.026,-20.534,-21.311,-21.84,-22.135,-22.455,-22.699,-22.867,-23.029,-23.231,-23.429,10.722,10.7834,0.278368,0.308514,28.4707893916788,29.5623962117389,29.845789076952
3981,0.4385,34.20059,22.367748,22.672314,11.128055,1.0,-17.92,-19.463,-20.047,-20.498,-20.799,-21.071,-21.291,-21.467,-21.661,-21.955,-21.889,9.95303,10.0044,0.993592,1.0351,29.1750793916788,29.4872762117389,29.417579076952
3982,0.883,26.05829,22.918112,23.149807,11.67269,1.0,-17.767,-20.184,-21.117,-21.717,-22.215,-22.742,-22.985,-23.294,-23.501,-23.951,-23.786,11.1,11.1072,0.6,0.632306,28.7945893916788,29.8862262117389,30.169589076952
3983,3.6152,19.72851,24.17835,24.410046,11.569976,0.0,-20.367,-20.664,-20.958,-21.191,-21.363,-21.684,-22.266,-22.445,-22.63,-22.921,-22.811,9.86151,9.58127,1.54284,1.96195,29.9593193916788,29.7762262117389,29.732099076952
3984,1.2782,20.08021,23.177343,23.40904,11.420702,1.0,-19.062,-20.738,-21.493,-22.024,-22.159,-22.561,-22.747,-22.966,-23.34,-23.585,-23.493,10.7929,10.7983,0.966385,0.936999,29.0836693916788,29.8180262117389,29.997869076952
3985,1.093,19.58519,23.009283,23.240978,11.672327,1.0,-19.419,-21.448,-22.061,-22.589,-22.824,-23.182,-23.389,-23.567,-23.906,-24.126,-23.976,10.8724,10.8614,1.89462,1.94405,30.0826193916788,30.3695262117389,30.278059076952
3986,0.124,22.96109,20.950428,21.182123,10.257741,1.0,-17.449,-19.308,-20.299,-20.962,-21.309,-21.696,-22.003,-22.297,-22.475,-22.738,-22.524,10.5,10.6105,5.39491e-05,0.135628,28.2979093916788,29.3895062117389,29.672909076952
3987,1.8354,19.827,23.530893,23.762589,12.237609,1.0,-19.295,-21.622,-22.236,-22.827,-23.124,-23.488,-23.861,-24.293,-24.497,-24.793,-24.671,11.1659,11.143,2.14578,1.92852,30.0635193916788,30.4876262117389,30.542239076952
3988,0.4164,34.95517,22.291195,22.52289,0.0,0.0,-18.323,-19.753,-20.334,-20.76,-21.08,-21.288,-21.516,-21.803,-21.843,-22.091,-21.956,10.0456,10.1064,0.811573,0.85848,29.0138293916788,29.4501262117389,29.449229076952
3989,1.6944,21.3262,23.483852,23.715548,12.124675,1.0,-18.561,-20.791,-21.23,-21.954,-22.205,-22.411,-22.884,-23.235,-23.56,-23.979,-23.98,10.5691,10.5516,2.28249,2.27916,30.3726193916788,30.3895262117389,30.327969076952
3990,1.3835,27.50567,23.393137,23.624832,11.950142,0.0,-18.966,-20.933,-21.418,-22.157,-22.407,-22.999,-23.208,-23.434,-23.846,-24.205,-24.252,10.7918,10.7402,2.36142,2.41162,30.5174193916788,30.5747262117389,30.395249076952
3991,1.174,21.33073,23.118292,23.349987,11.767834,0.0,-22.283,-23.039,-22.913,-23.361,-23.609,-24.219,-24.37,-24.457,-24.831,-24.968,-24.727,10.95,10.9542,1.40001,1.36987,29.5115193916788,30.1081262117389,30.232359076952
3992,2.777,20.31761,23.9423,24.173996,12.883185,1.0,-20.756,-22.102,-23.057,-23.569,-23.922,-24.413,-24.807,-25.037,-25.209,-25.576,-25.526,11.378,11.5141,2.75217,2.49349,30.6028193916788,30.9054262117389,30.939539076952
3993,1.6374,19.93658,23.420782,23.652477,0.0,0.0,-20.599,-22.337,-22.995,-23.22,-23.518,-23.532,-23.851,-24.079,-24.176,-24.275,-24.091,10.9184,10.8885,2.10028,2.12339,30.2570193916788,30.4822262117389,30.363909076952
3994,0.511,20.9201,22.350557,22.727398,10.638393,0.0,-17.971,-20.507,-21.301,-21.702,-21.881,-22.117,-22.32,-22.459,-22.484,-22.68,-22.593,10.4448,10.4533,-0.710317,-0.682412,27.7841093916788,29.3900062117389,29.618209076952
3995,2.0316,19.72634,23.628082,23.859777,12.037721,0.0,-17.888,-20.144,-20.889,-21.528,-21.807,-22.363,-22.768,-22.997,-23.233,-23.622,-23.52,10.7434,10.7267,1.64831,1.51222,29.6472193916788,30.0713262117389,30.125969076952
3996,0.7277,36.808,22.872723,23.10442,11.660629,1.0,-18.115,-20.578,-21.157,-21.726,-22.09,-22.478,-22.836,-22.966,-23.273,-23.641,-23.501,10.6566,10.6707,1.75961,1.75329,29.8919193916788,30.1788262117389,30.087299076952
