,zbest,F3GHz,logL10cm,logL21cm,logLTIRSF,SFG,MNUV,MU,MB,MV,MR,MI,MZ,MY,MJ,MH,MK,MASS_MED,MASS_BEST,SFR_MED,SFR_BEST,L_NU,L_R,L_K
0,1.5457,16147.04,25.839252,25.717876,11.6626,0.0,-18.623,-21.464,-22.299,-22.895,-23.048,-23.374,-23.643,-23.797,-24.214,-24.53,-24.284,11.142,11.1304,-1.40542,-1.43741,27.7465493916788,29.8776262117389,30.193749076952
1,1.541,15602.2,26.238592,26.45753,11.540435,0.0,-21.098,-21.8,-21.964,-22.545,-22.783,-22.839,-23.229,-23.008,-23.349,-23.627,-23.51,10.0551,10.0629,2.3901,2.34658,30.3321193916788,30.1758262117389,30.110579076952
2,1.555,11369.18,25.802593,25.77176,12.118613,0.0,-16.628,-18.416,-18.701,-19.737,-17.158,-20.573,-20.255,-20.408,-20.538,-20.761,-20.594,9.41667,9.48718,0.751766,0.3536,28.4868893916788,28.8704962117389,28.899489076952
3,2.4455,7746.012,26.569344,26.90428,12.010794,0.0,-19.77,-22.131,-23.097,-23.559,-23.815,-24.036,-24.248,-24.357,-24.466,-24.653,-24.444,11.0555,11.0655,-2.25978,-2.2636,28.3754993916788,30.1515262117389,30.382799076952
4,1.259,9212.93,25.896793,26.196741,11.263206,0.0,-18.524,-20.865,-21.731,-22.408,-22.792,-23.254,-23.441,-23.656,-23.831,-24.116,-24.101,11.1999,11.2243,0.70019,0.749476,28.9117593916788,30.0033262117389,30.286759076952
6,2.45,6749.455,25.788485,25.678465,11.481303,0.0,-20.451,-22.526,-23.218,-23.61,-23.838,-24.058,-24.245,-24.353,-24.413,-24.574,-24.337,11.2,11.1887,0.344446,0.338199,28.7309893916788,30.1779262117389,30.383989076952
7,2.238,13523.29,26.615582,26.884518,11.418917,0.0,-20.901,-22.405,-23.081,-23.258,-23.501,-23.866,-24.175,-24.354,-24.504,-24.787,-24.66,11.1841,11.2258,1.88025,1.90416,30.0230193916788,30.4519262117389,30.543139076952
8,1.051,6278.126,25.037176,24.803537,11.411131,0.0,-20.14,-21.413,-21.867,-22.52,-22.787,-23.174,-23.16,-23.341,-23.566,-23.833,-23.807,10.354,10.327,2.69916,2.69171,30.6578193916788,30.4879262117389,30.230159076952
9,0.684,3235.118,24.349741,23.989992,10.490183,0.0,-17.871,-20.127,-20.929,-21.583,-21.858,-22.297,-22.559,-22.75,-22.953,-23.229,-23.022,10.8676,10.8548,-0.0647587,-0.05028,28.1320893916788,29.5054962117389,29.826689076952
10,1.0809,8626.79,25.7529,26.0999,11.910144,0.0,-20.579,-21.755,-22.025,-22.518,-22.757,-22.91,-23.063,-23.178,-23.263,-23.503,-23.576,10.5365,10.5011,1.99977,1.98136,30.1021193916788,30.2318262117389,30.074519076952
11,0.9284,3538.158,25.103271,25.336895,0.0,0.0,-18.051,-20.66,-21.51,-22.244,-22.484,-22.829,-23.128,-23.325,-23.44,-23.753,-23.562,11.1001,11.1141,0.0015051,-0.00560682,28.1923093916788,29.7139262117389,30.049109076952
13,2.0991,3150.971,25.849981,26.072687,11.403753,1.0,-21.141,-22.94,-23.663,-23.993,-24.231,-24.432,-24.66,-24.761,-24.816,-25.04,-24.811,11.25,11.259,0.7,0.680378,29.0191393916788,30.3066262117389,30.495539076952
14,2.4355,3178.244,26.048517,26.303423,12.700539,0.0,-19.799,-21.636,-22.36,-22.778,-23.033,-23.432,-23.744,-23.919,-24.076,-24.328,-24.168,11.0207,11.0108,2.13854,1.5233,29.6633193916788,30.2135262117389,30.319229076952
15,0.323,4133.048,24.118296,24.361103,9.976039,0.0,-17.559,-21.511,-22.598,-23.298,-23.691,-24.086,-24.378,-24.593,-24.815,-25.031,-24.687,11.7,11.7877,-0.9,-0.837583,27.7996693916788,30.1715262117389,30.573739076952
16,1.3564,2276.964,24.840693,24.671701,12.273006,1.0,-19.864,-21.932,-22.7,-23.23,-23.457,-23.933,-24.18,-24.291,-24.671,-24.926,-24.88,11.3234,11.3181,1.76075,1.81933,29.9845193916788,30.5343262117389,30.584539076952
17,2.625,2372.779,25.882265,26.070372,11.816251,0.0,-20.959,-22.313,-23.024,-23.365,-23.385,-23.785,-24.128,-24.294,-24.444,-24.717,-24.594,11.0724,11.0999,2.12721,1.88544,30.0204193916788,30.4446262117389,30.499239076952
18,1.1761,2132.263,25.12846,25.368525,0.0,0.0,-19.125,-21.206,-21.787,-22.259,-22.639,-23.121,-23.391,-23.564,-23.837,-24.098,-23.939,10.9278,10.9404,1.81629,1.76264,29.9066193916788,30.3039262117389,30.293729076952
19,0.349,2969.639,24.05666,24.314495,10.268801,0.0,-17.949,-20.971,-21.87,-22.565,-22.884,-23.279,-23.569,-23.678,-23.93,-24.121,-23.773,11.4,11.3434,-0.3,-0.324174,28.0979293916788,29.8797262117389,30.163329076952
20,0.218,2324.704,23.44041,23.499577,10.212709,0.0,-92.48,-19.97,-21.095,-21.837,-22.038,-22.628,-22.954,-23.167,-23.44,-23.589,-23.352,11.1503,11.1395,-0.599414,-0.6247,27.6641593916788,29.6247662117389,29.989159076952
21,1.6798,2405.449,25.747389,26.149023,11.641106,1.0,-18.871,-20.327,-21.149,-21.66,-21.955,-22.341,-22.664,-22.652,-22.838,-23.134,-23.022,10.4774,10.563,1.60594,1.31507,29.4704193916788,29.9067262117389,29.905819076952
22,0.9132,1868.083,24.869196,25.173334,10.86829,1.0,-18.781,-20.936,-21.677,-22.268,-22.581,-22.867,-23.111,-23.273,-23.39,-23.672,-23.481,11.0,11.0175,0.299998,0.327302,28.4982293916788,29.7286262117389,30.034129076952
23,0.706,1825.48,24.515057,24.714577,11.490289,0.0,-19.059,-21.12,-21.854,-22.522,-22.633,-22.978,-23.274,-23.37,-23.567,-23.939,-23.725,11.1,11.1038,0.4,0.371808,28.6033093916788,29.8240262117389,30.042209076952
24,0.901,2102.758,24.705849,24.772049,11.099211,0.0,-20.007,-21.709,-22.434,-23.058,-23.297,-23.627,-23.879,-24.07,-24.143,-24.32,-24.174,11.25,11.2561,0.799968,0.781253,28.9435293916788,30.0351262117389,30.318529076952
25,0.2214,1577.786,23.285898,23.343845,10.395836,0.0,-92.652,-20.083,-21.194,-21.912,-22.125,-22.645,-22.964,-23.15,-23.357,-23.498,-23.301,11.1,11.1215,-0.700003,-0.642722,27.6461393916788,29.6067362117389,29.971139076952
26,0.6088,1510.295,23.92114,23.53587,11.349907,1.0,-18.783,-21.142,-22.038,-22.68,-23.06,-23.457,-23.847,-24.018,-24.368,-24.683,-24.476,11.4508,11.3909,0.301549,0.271147,28.4690693916788,29.9906262117389,30.325869076952
27,0.351,2250.165,24.020632,24.478111,10.285918,0.0,-17.89,-20.991,-21.908,-22.607,-22.911,-23.29,-23.574,-23.693,-23.939,-24.131,-23.929,11.45,11.3858,-0.2,-0.281707,28.1403993916788,29.9222262117389,30.205799076952
28,0.742,1386.37,24.341122,24.398174,11.110265,0.0,-19.113,-20.967,-21.571,-22.065,-22.362,-22.721,-22.935,-23.131,-23.322,-23.592,-23.41,10.8028,10.8406,0.999998,0.979239,29.1259093916788,29.8603262117389,30.040109076952
29,2.1256,2312.349,25.867615,26.183897,11.823377,0.0,-18.894,-20.528,-21.234,-21.811,-22.141,-22.586,-22.932,-23.111,-23.317,-23.631,-23.52,10.5705,10.8153,1.7305,1.31651,29.4816193916788,30.0314262117389,30.081769076952
30,0.8456,1379.213,24.58608,24.802858,11.058108,0.0,-18.257,-20.974,-21.783,-22.419,-22.829,-23.201,-23.391,-23.594,-23.745,-24.087,-23.86,11.2364,11.2315,0.0624137,0.111738,28.3096593916788,29.8312262117389,30.166459076952
31,1.7932,1446.692,25.484022,25.799461,11.811792,0.0,-20.715,-22.604,-22.929,-23.684,-23.972,-24.308,-24.652,-24.916,-25.11,-25.317,-25.194,11.5147,11.5196,1.79434,1.79476,29.9389193916788,30.6048262117389,30.758139076952
32,1.171,1290.572,24.803864,24.943502,11.349147,0.0,-18.825,-21.327,-22.095,-22.65,-22.878,-23.203,-23.451,-23.573,-23.91,-24.076,-24.121,10.85,10.8319,-0.299998,-0.303816,28.1626993916788,29.7686262117389,29.996799076952
33,0.582,1849.853,23.934458,23.477552,10.721685,0.0,-20.93,-22.158,-22.665,-22.981,-23.198,-23.374,-23.647,-23.736,-23.87,-24.43,-24.299,10.8248,10.8402,2.1777,2.20086,30.3132193916788,30.4796262117389,30.345949076952
34,0.476,2488.053,24.258242,24.454336,10.783304,0.0,-17.36,-20.58,-21.573,-22.221,-22.546,-22.93,-23.266,-23.411,-23.57,-23.862,-23.692,11.2438,11.2242,-0.31321,-0.32502,27.9227893916788,29.7427262117389,30.098499076952
35,1.195,1269.788,24.89377,25.108936,11.49796,0.0,-17.574,-21.424,-22.281,-23.033,-23.334,-23.745,-24.057,-24.229,-24.463,-24.663,-24.327,11.4144,11.4228,-3.96287,-18.0219,27.5043193916788,29.9490262117389,30.306129076952
36,2.189,1319.993,25.615227,25.905434,11.644941,1.0,-19.443,-20.848,-21.583,-22.151,-22.309,-22.868,-23.201,-23.407,-23.616,-23.957,-23.912,10.7959,10.8199,2.02717,2.05479,30.1884193916788,30.4136262117389,30.295309076952
37,0.91,2014.6,24.946898,25.308289,12.236601,0.0,-21.385,-22.353,-22.576,-22.623,-23.614,-23.054,-23.19,-23.371,-23.471,-23.977,-24.145,10.1013,10.1074,2.5,2.48491,30.4810193916788,30.3049262117389,30.061459076952
38,1.778,1538.633,25.04398,25.017914,11.551738,0.0,-18.439,-21.065,-22.105,-22.591,-23.055,-23.31,-23.737,-23.978,-24.178,-24.458,-24.294,11.3448,11.3465,1.10198,1.08806,29.2437193916788,30.2028262117389,30.457589076952
39,0.954,1354.324,24.19884,23.846714,11.033318,0.0,-19.506,-21.975,-22.808,-23.421,-23.756,-24.097,-24.32,-24.44,-24.567,-24.767,-24.537,11.3,11.2849,-0.699999,-0.708681,28.1162293916788,30.0913262117389,30.379029076952
40,3.3892,2504.094,26.244427,26.487944,12.312583,1.0,-21.127,-22.532,-23.073,-23.451,-23.668,-23.97,-24.294,-24.421,-24.543,-24.771,-24.618,11.0891,11.0993,2.07126,2.02446,30.1667193916788,30.5249262117389,30.490939076952
41,0.8003,2244.703,24.776413,25.03719,10.534098,0.0,-17.725,-20.084,-20.949,-21.595,-21.975,-22.346,-22.591,-22.835,-22.947,-23.176,-22.949,10.8996,10.8887,-0.201105,-0.231005,27.9669093916788,29.4885162117389,29.823719076952
42,0.972,1173.414,24.17034,23.842827,11.03658,0.0,-18.847,-21.395,-22.222,-22.864,-23.177,-23.453,-23.762,-24.002,-24.081,-24.428,-24.257,11.3,11.3294,8.97852e-08,-0.00498607,28.2138793916788,29.8862262117389,30.233279076952
43,0.746,2305.333,24.710941,24.964998,10.917386,0.0,-19.858,-22.088,-22.805,-23.301,-23.449,-23.687,-23.857,-23.978,-24.114,-24.321,-24.085,11.0,11.0176,0.2,0.167027,28.5598193916788,30.0067262117389,30.212819076952
45,0.73,1638.8,24.483076,24.657185,11.054981,0.0,-17.914,-21.064,-22.033,-22.72,-23.007,-23.407,-23.658,-23.841,-24.056,-24.334,-24.088,11.3962,11.4039,-5.59625,-26.7176,27.2852093916788,29.8260262117389,30.209509076952
46,1.2523,1012.878,24.97251,25.310165,12.138564,0.0,-21.123,-22.591,-23.231,-23.632,-24.007,-24.429,-24.974,-25.143,-25.384,-25.735,-25.677,11.3827,11.4269,2.59961,2.62393,30.7236193916788,30.9334262117389,30.930039076952
47,0.0,1031.379,0.0,0.0,0.0,0.0,-21.323,-23.002,-23.52,-23.885,-24.176,-24.558,-24.851,-24.989,-25.107,-25.296,-25.123,11.1646,11.1919,2.55438,2.68801,30.8053193916788,30.9284262117389,30.769539076952
48,1.1124,1670.693,24.40661,24.076365,11.102666,1.0,-19.737,-21.947,-22.531,-23.235,-23.554,-23.894,-24.167,-24.35,-24.488,-24.794,-24.601,11.45,11.4807,0.6,0.575641,28.7580093916788,30.1314262117389,30.452609076952
49,0.671,964.0965,24.12138,24.222906,11.50046,1.0,-19.944,-21.629,-22.351,-22.859,-23.061,-23.367,-23.677,-23.832,-24.087,-24.423,-24.177,11.1998,11.1599,0.550435,0.46972,28.6406493916788,29.8710262117389,30.176549076952
50,1.8911,1187.194,25.460152,25.779907,12.767782,1.0,-19.276,-20.919,-22.183,-22.449,-22.996,-23.289,-23.643,-24.004,-24.184,-24.502,-24.339,11.1414,11.1872,1.84942,1.3259,29.4725193916788,30.2069262117389,30.386759076952
51,1.4857,1018.0,25.179232,25.53378,11.890321,0.0,-17.77,-19.746,-20.65,-21.147,-21.275,-21.517,-21.856,-21.972,-22.038,-22.204,-21.963,10.2675,10.2108,1.23789,-0.924967,27.5415493916788,29.1474562117389,29.375649076952
52,0.6701,1799.32,24.38026,24.465595,10.298135,0.0,-19.355,-21.361,-22.14,-22.654,-23.013,-23.425,-23.747,-23.9,-24.156,-24.523,-24.337,11.2,11.2051,1.39978,1.35943,29.5373193916788,30.2550262117389,30.369039076952
53,1.5066,1421.562,25.191015,25.422424,11.57253,1.0,-18.451,-21.035,-21.954,-22.695,-22.984,-23.384,-23.816,-24.054,-24.412,-24.767,-24.602,11.4218,11.4413,1.06187,0.966439,29.1287193916788,30.2203262117389,30.503739076952
54,0.166,3021.195,23.335009,23.536072,9.813422,0.0,-91.657,-20.689,-21.783,-22.509,-22.37,-23.282,-23.581,-23.801,-23.983,-24.151,-23.969,11.3047,11.3509,-0.302883,-0.198269,28.0495493916788,29.8694262117389,30.225249076952
55,1.258,913.3405,25.032253,25.46326,11.271887,0.0,-20.131,-21.802,-22.332,-22.837,-23.193,-23.536,-23.706,-23.906,-24.192,-24.476,-24.244,10.9477,10.9452,2.21988,2.22991,30.3614193916788,30.5668262117389,30.439309076952
56,1.6983,3554.249,25.845375,26.182583,11.534407,0.0,-19.596,-22.219,-23.042,-23.591,-23.774,-24.113,-24.267,-24.651,-24.726,-24.942,-24.699,11.2947,11.2761,-0.3,-0.287941,28.3304693916788,30.1453262117389,30.408569076952
57,0.9393,936.891,24.426764,24.532442,11.19137,0.0,-17.929,-22.071,-22.991,-23.711,-24.06,-24.413,-24.716,-24.924,-25.015,-25.271,-25.069,11.7431,11.7521,-5.19524,-22.0303,27.7040393916788,30.2246262117389,30.596539076952
58,1.1572,975.496,24.635767,24.740314,11.174272,0.0,-18.174,-21.163,-21.942,-22.805,-23.094,-23.485,-23.742,-23.94,-24.108,-24.398,-24.268,11.35,11.3678,0.2,0.24808,28.4459993916788,29.9676262117389,30.302799076952
59,2.4259,3322.7,26.026434,26.25813,0.0,0.0,-20.494,-22.17,-22.855,-23.371,-23.667,-24.05,-24.353,-24.54,-24.869,-25.163,-25.041,11.3285,11.3453,2.06677,1.76091,29.9026193916788,30.4992262117389,30.623439076952
60,0.3401,877.9656,23.492985,23.72762,0.0,0.0,-15.645,-19.605,-20.583,-21.214,-21.606,-21.911,-22.175,-22.347,-22.544,-22.73,-22.586,10.7042,10.7117,-4.8915,-18.733,26.7931993916788,29.2379062117389,29.594999076952
61,0.67,884.3119,24.017792,24.023203,10.665665,0.0,-18.563,-21.719,-22.675,-23.348,-23.638,-24.022,-24.215,-24.454,-24.591,-24.65,-24.402,11.5936,11.6136,-5.95574,-5.99666,27.5402693916788,30.0691262117389,30.441279076952
62,2.5815,1987.549,26.021473,26.347849,10.960581,1.0,-20.211,-21.514,-22.199,-22.435,-22.917,-23.267,-23.588,-23.775,-24.002,-24.296,-24.174,11.0122,11.0479,1.77353,1.46351,29.6052193916788,30.2018262117389,30.325999076952
63,1.8557,852.4215,24.508448,24.255945,11.054449,1.0,-19.688,-21.381,-21.24,-21.463,-21.649,-21.974,-22.236,-22.42,-22.555,-22.918,-22.779,10.1349,10.2267,1.70058,1.44093,29.5474193916788,29.7607262117389,29.743349076952
64,0.7917,826.7997,24.457535,24.882952,11.484416,1.0,-18.601,-21.386,-22.353,-22.868,-23.114,-23.426,-23.463,-23.715,-24.131,-24.307,-24.288,11.0,10.9862,-0.6,-0.577844,28.0405693916788,29.8554262117389,30.118669076952
65,0.714,869.0686,24.135756,24.238884,11.118485,0.0,-18.24,-20.458,-21.182,-21.69,-21.987,-22.319,-22.553,-22.75,-22.985,-23.415,-23.19,10.8084,10.8097,0.100221,0.119435,28.2903593916788,29.5207562117389,29.826259076952
66,0.9684,3721.791,25.166136,25.397831,0.0,0.0,-18.439,-21.162,-22.103,-22.761,-23.008,-23.38,-23.703,-23.867,-23.989,-24.328,-24.21,11.3519,11.3468,0.203794,0.227061,28.4249793916788,29.9466262117389,30.281779076952
67,1.109,1615.582,24.959902,25.211569,10.995035,1.0,-18.638,-20.908,-21.713,-22.39,-22.767,-23.229,-23.317,-23.531,-23.707,-24.09,-23.963,11.2,11.2101,0.700032,0.735262,28.8975393916788,29.9891262117389,30.272539076952
68,0.1225,757.6482,22.379456,22.095375,9.703985,1.0,-90.952,-19.752,-20.86,-21.608,-21.449,-22.443,-22.777,-23.04,-23.187,-23.421,-23.179,11.0799,11.0835,-0.640081,-0.590864,27.6568393916788,29.5284462117389,29.906739076952
70,0.7871,789.5135,24.340609,24.647367,0.0,0.0,-19.933,-21.336,-21.947,-22.092,-22.458,-22.642,-22.827,-23.146,-23.169,-23.332,-23.143,10.4226,10.4185,1.78763,1.80161,29.9281193916788,30.0950262117389,29.951069076952
71,1.7111,770.0709,25.323753,25.763763,10.825547,1.0,-19.608,-21.018,-21.586,-22.018,-22.382,-22.445,-22.804,-22.975,-23.12,-23.294,-23.171,10.5591,10.5479,1.67331,1.671,29.8044193916788,30.0719262117389,29.974819076952
72,0.9172,736.172,24.35788,24.531504,10.875506,0.0,-16.701,-20.831,-21.699,-22.441,-22.807,-23.169,-23.436,-23.659,-23.732,-23.985,-23.689,11.2325,11.2204,-4.98353,-20.3929,27.2350893916788,29.7195262117389,30.085889076952
73,0.133,853.2289,22.588062,22.836262,10.233061,0.0,-18.24,-19.51,-20.346,-20.926,-20.828,-21.642,-21.918,-22.2,-22.375,-22.564,-22.478,10.7853,10.7206,0.571242,0.488932,28.6088893916788,29.3663862117389,29.644489076952
74,1.4168,795.1898,24.90156,25.153683,10.944263,0.0,-19.24,-21.916,-22.723,-23.223,-23.592,-23.802,-24.033,-24.162,-24.413,-24.514,-24.271,11.1789,11.1603,-0.400331,-0.403718,28.2146893916788,30.0296262117389,30.292789076952
75,1.094,776.4922,24.405184,24.427267,0.0,0.0,-19.244,-21.43,-22.25,-22.747,-22.965,-23.118,-23.35,-23.465,-23.887,-24.237,-23.996,10.8998,10.8627,-0.299838,-0.273056,28.1934593916788,29.7993262117389,30.027559076952
76,2.8675,706.1141,25.275976,25.373652,12.507134,1.0,-21.024,-22.12,-22.575,-22.931,-23.105,-23.221,-23.477,-23.802,-23.93,-24.158,-24.015,10.672,10.6724,1.98533,1.95284,30.0746193916788,30.2714262117389,30.234669076952
77,1.1677,727.6566,24.390173,24.370045,11.457044,0.0,-17.396,-21.279,-21.974,-22.648,-22.949,-23.315,-23.597,-23.743,-24.056,-24.256,-24.189,11.2327,11.2646,-3.50485,-18.1801,27.3460993916788,29.7908262117389,30.147899076952
78,0.2181,1678.217,23.336239,23.538551,0.0,0.0,-93.085,-20.578,-21.695,-22.395,-22.402,-23.101,-23.421,-23.742,-23.843,-24.022,-23.78,11.3,11.2996,-1.29975,-8.47622,27.1465793916788,29.6893262117389,30.088679076952
79,0.9259,997.4138,24.133402,23.88186,0.0,0.0,-17.994,-20.411,-21.21,-21.829,-22.126,-22.441,-22.729,-22.935,-23.027,-23.41,-23.224,10.9447,10.9286,-0.287844,-0.405761,27.8131093916788,29.4854062117389,29.832509076952
80,0.7202,731.1256,24.127794,24.313795,10.744898,0.0,-18.11,-20.749,-21.617,-22.296,-22.537,-22.925,-23.197,-23.302,-23.491,-23.8,-23.552,11.1853,11.1365,-0.360261,-0.412685,27.8351293916788,29.6550262117389,30.010829076952
81,0.6303,888.8237,23.727406,23.361448,10.457176,0.0,-17.547,-19.814,-20.794,-21.614,-21.891,-22.212,-22.557,-22.738,-22.896,-23.217,-23.349,11.0019,10.9554,-0.39613,-0.378955,27.8399093916788,29.5122162117389,29.859309076952
82,1.883,653.2904,25.118347,25.38206,12.802412,0.0,-21.069,-22.851,-23.608,-23.999,-24.253,-24.666,-25.172,-25.377,-25.578,-25.932,-25.808,11.7998,11.7795,1.9,1.91818,30.0648193916788,30.7992262117389,30.979039076952
83,0.9654,696.1743,24.356476,24.499634,10.732484,0.0,-17.776,-20.683,-21.594,-22.223,-22.555,-22.884,-23.208,-23.344,-23.487,-23.6,-23.486,11.1337,11.1329,-4.83448e-06,0.0131514,28.2110693916788,29.7326262117389,30.067869076952
84,2.095,756.2725,25.122196,25.273308,12.633741,0.0,-22.168,-22.672,-22.497,-22.563,-22.615,-22.786,-22.903,-22.958,-22.996,-23.063,-22.788,10.0888,10.0386,2.07419,2.13389,30.1834193916788,30.0900262117389,29.852979076952
85,0.425,8009.088,24.702877,25.002054,0.0,0.0,-17.029,-20.257,-21.243,-21.911,-22.201,-22.572,-22.854,-23.029,-23.163,-23.393,-23.25,11.0497,11.0416,-0.91593,-0.937733,27.4082793916788,29.4977762117389,29.871779076952
86,0.775,627.7845,24.181265,24.43034,11.272494,0.0,-17.742,-19.907,-20.13,-20.831,-21.028,-21.424,-21.599,-21.696,-21.898,-22.172,-22.062,9.74407,9.78189,1.95571,1.96988,29.9743193916788,29.8549262117389,29.612669076952
87,0.7335,651.8402,23.980885,24.007477,10.400759,1.0,-18.893,-21.018,-21.759,-22.353,-22.638,-23.035,-23.271,-23.38,-23.583,-23.802,-23.573,11.1006,11.1058,0.20163,0.190406,28.4432693916788,29.7815262117389,30.018869076952
88,0.8464,658.5801,24.095915,24.101301,11.19543,0.0,-19.118,-21.766,-22.757,-23.426,-23.807,-24.137,-24.397,-24.656,-24.743,-24.934,-24.687,11.6066,11.6052,-5.24766,-20.0082,27.6198193916788,30.1042262117389,30.470619076952
89,0.9918,666.7179,24.352184,24.482965,10.692288,0.0,-17.79,-21.155,-21.886,-22.494,-22.785,-23.1,-23.315,-23.495,-23.525,-23.768,-23.512,10.9008,10.9101,-1.09919,-1.08348,27.7414293916788,29.7165262117389,30.004229076952
90,1.4,622.6025,24.483566,24.474829,12.207194,1.0,-21.149,-22.616,-23.088,-23.52,-23.849,-24.16,-24.313,-24.474,-24.765,-25.046,-24.946,11.0331,11.0176,2.61092,2.64155,30.7515193916788,30.8273262117389,30.653739076952
91,0.4331,593.2788,23.270988,22.890602,10.710607,0.0,-17.329,-19.774,-20.684,-21.272,-21.61,-21.901,-22.164,-22.376,-22.493,-22.729,-22.619,10.7,10.6961,-0.599974,-0.638324,27.5805393916788,29.2528462117389,29.599939076952
92,0.7371,614.7265,24.052856,24.207867,11.276589,1.0,-17.895,-20.594,-21.356,-22.016,-22.365,-22.777,-23.05,-23.281,-23.544,-23.806,-23.621,11.05,11.0748,0.599888,0.599952,28.7622293916788,29.8538262117389,30.137229076952
93,0.8904,583.1342,24.223715,24.392445,10.40157,0.0,-18.856,-21.58,-22.453,-23.054,-23.356,-23.605,-23.909,-24.133,-24.236,-24.433,-24.187,11.1999,11.1958,-1.39939,-1.37201,27.8119493916788,29.9430262117389,30.259159076952
94,0.9259,701.5849,23.989864,23.749088,11.62387,0.0,-18.065,-20.226,-20.958,-21.52,-21.951,-22.441,-22.606,-22.94,-23.093,-23.36,-23.192,10.7341,10.7602,1.08958,1.08747,29.2589193916788,29.8915262117389,29.974829076952
95,0.3712,1179.887,23.731766,24.025414,10.165716,0.0,-16.962,-19.512,-20.492,-21.196,-21.56,-21.953,-22.392,-22.594,-22.736,-22.868,-22.621,10.8015,10.8156,-0.500664,-0.518781,27.7000893916788,29.3723862117389,29.719489076952
96,1.6427,611.4808,25.009453,25.318588,11.451526,0.0,-18.452,-21.492,-22.286,-22.819,-23.183,-23.445,-23.704,-24.094,-24.186,-24.365,-24.119,11.1562,11.1693,-1.47323,-9.60523,27.6477093916788,29.8868262117389,30.220409076952
97,0.9886,641.3806,24.381222,24.566216,11.788401,1.0,-18.271,-21.076,-21.798,-22.587,-22.922,-23.371,-23.662,-23.843,-24.058,-24.442,-24.234,11.3385,11.319,0.223671,0.199304,28.3972193916788,29.9188262117389,30.254019076952
98,0.3477,9023.979,24.533363,24.785332,10.203743,0.0,-16.695,-20.676,-21.667,-22.336,-22.678,-23.04,-23.313,-23.49,-23.671,-23.868,-23.679,11.2036,11.1858,-5.68387,-20.4276,27.2004093916788,29.6848262117389,30.051209076952
99,1.114,13974.63,25.998285,26.34849,11.451832,0.0,-17.79,-21.32,-22.194,-22.765,-23.036,-23.395,-23.55,-23.785,-23.872,-24.158,-23.894,11.0901,11.0952,-1.42976,-1.47262,27.7113493916788,29.8424262117389,30.158549076952
100,1.13,819.0305,24.317694,24.200134,11.629931,0.0,-21.372,-21.889,-22.274,-22.478,-22.608,-22.731,-22.938,-23.315,-23.403,-23.679,-23.501,10.4869,10.4858,1.70079,1.73759,29.8352193916788,30.0241262117389,30.011369076952
101,0.519,598.8254,23.739758,23.963326,10.660712,0.0,-22.491,-23.706,-24.117,-24.654,-24.615,-24.897,-25.179,-25.35,-25.462,-25.623,-25.479,11.2484,11.2519,2.9,2.91567,31.0059193916788,31.0623262117389,30.884639076952
102,2.0152,572.1531,24.958796,25.10497,11.881936,0.0,-20.931,-23.298,-24.041,-24.37,-24.573,-24.79,-24.925,-24.997,-25.026,-25.254,-25.022,11.3058,11.3129,-0.816631,-0.885552,28.8858593916788,30.4500262117389,30.565339076952
103,1.982,725.8058,25.226246,25.497364,11.639897,0.0,-19.484,-20.958,-21.847,-22.344,-22.61,-22.713,-22.985,-23.143,-23.247,-23.453,-23.229,10.8214,10.835,0.695163,0.576519,28.7321493916788,29.6912262117389,29.946049076952
104,1.1181,711.6278,24.178284,23.989355,0.0,0.0,-18.625,-21.037,-21.767,-22.323,-22.604,-23.127,-23.289,-23.476,-23.669,-24.105,-24.1,10.9628,10.9397,1.87519,1.88408,30.0306193916788,30.3807262117389,30.335639076952
105,1.3292,595.8466,24.780628,25.095047,11.648568,1.0,-20.016,-21.697,-22.344,-22.86,-23.085,-23.514,-23.667,-23.838,-24.221,-24.438,-24.252,11.1031,11.1313,1.31434,1.2856,29.4635193916788,30.1812262117389,30.295219076952
106,1.004,1072.311,24.672148,24.914827,11.7057,0.0,-83.847,-9.675,-10.333,-10.685,-11.043,-11.494,-12.11,-12.317,-12.647,-12.816,-13.069,7.9164,6.37774,-0.78361,-2.3705,25.7270893916788,25.9160862117389,25.903289076952
107,1.5141,626.9744,24.829895,25.052591,11.691863,0.0,-18.777,-21.514,-22.48,-23.11,-23.264,-23.658,-23.908,-24.074,-24.401,-24.625,-24.38,11.2616,11.279,-1.93276,-2.0072,27.7077893916788,29.9707262117389,30.315889076952
108,1.47,973.5947,25.161545,25.527273,12.682205,0.0,-23.002,-23.918,-24.138,-25.133,-25.233,-25.559,-25.18,-25.325,-25.417,-25.61,-25.416,11.6074,11.5897,2.3,2.31646,30.4559193916788,30.8714262117389,30.883339076952
109,0.7308,535.5252,23.982924,24.135529,10.912472,0.0,-17.98,-20.85,-21.722,-22.434,-22.786,-23.25,-23.552,-23.759,-23.97,-24.13,-23.923,11.3,11.3113,8.31296e-08,-0.0231218,28.1957493916788,29.8680262117389,30.215149076952
110,1.0893,608.9172,24.525885,24.785866,11.177619,0.0,-18.704,-20.639,-21.49,-21.828,-22.039,-22.273,-22.375,-22.482,-22.481,-22.762,-22.566,10.4101,10.4548,-0.297595,-0.395785,27.9969993916788,29.4439062117389,29.649999076952
